epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,601.599,1.25395,1.03605,1.45862,0.83144,0.80996,0.8383,0.53876,1.35171,0.88049,1.43978,0.000357163,0.000357163,0.000357163
56,612.249,1.25546,1.04235,1.47654,0.85039,0.7786,0.83346,0.52119,1.4593,0.92236,1.50698,0.000352426,0.000352426,0.000352426
57,622.883,1.25406,1.02964,1.46465,0.88533,0.82621,0.87806,0.56466,1.39357,0.8316,1.4455,0.000347645,0.000347645,0.000347645
58,633.476,1.25442,1.042,1.46646,0.85243,0.80996,0.86158,0.54371,1.40277,0.87477,1.47983,0.000342821,0.000342821,0.000342821
59,644.087,1.22416,1.01311,1.44932,0.88183,0.80074,0.85877,0.57358,1.30952,0.81887,1.41247,0.000337957,0.000337957,0.000337957
60,654.772,1.22453,1.01016,1.45067,0.8016,0.81181,0.84204,0.51374,1.41316,0.93519,1.47287,0.000333056,0.000333056,0.000333056
61,665.433,1.24052,1.02426,1.45275,0.82804,0.81734,0.8509,0.55442,1.26644,0.90535,1.38707,0.000328118,0.000328118,0.000328118
62,676.034,1.22629,0.99367,1.44288,0.87014,0.82827,0.87409,0.60054,1.20947,0.81229,1.34377,0.000323147,0.000323147,0.000323147
63,686.67,1.2145,0.9877,1.44312,0.87146,0.85055,0.8856,0.60658,1.21497,0.78907,1.3419,0.000318144,0.000318144,0.000318144
64,697.31,1.22181,0.98319,1.44971,0.87676,0.81919,0.86306,0.59555,1.22611,0.80884,1.35052,0.000313112,0.000313112,0.000313112
65,707.956,1.21256,0.98421,1.43178,0.90935,0.85609,0.89761,0.63913,1.13755,0.73185,1.29217,0.000308052,0.000308052,0.000308052
66,718.625,1.23745,1.00577,1.45886,0.86957,0.81181,0.85041,0.54513,1.38389,0.83896,1.4544,0.000302968,0.000302968,0.000302968
67,729.264,1.21487,1.01322,1.44531,0.87214,0.84317,0.88265,0.61345,1.21039,0.77338,1.3297,0.000297861,0.000297861,0.000297861
68,739.904,1.21022,0.9961,1.45117,0.87234,0.8321,0.86371,0.57947,1.23376,0.82769,1.34979,0.000292734,0.000292734,0.000292734
69,750.618,1.20613,0.97478,1.43789,0.9012,0.84317,0.89541,0.64964,1.1305,0.72861,1.28597,0.000287588,0.000287588,0.000287588
70,761.274,1.20708,0.97871,1.43013,0.8723,0.81919,0.8642,0.58729,1.23631,0.79897,1.35464,0.000282427,0.000282427,0.000282427
71,771.908,1.19436,0.96841,1.42432,0.8876,0.84502,0.89332,0.59495,1.28553,0.75229,1.36894,0.000277251,0.000277251,0.000277251
72,782.61,1.17911,0.95585,1.41453,0.90083,0.82126,0.88175,0.58375,1.28773,0.79167,1.37417,0.000272065,0.000272065,0.000272065
73,793.293,1.19817,0.97736,1.42142,0.88031,0.84133,0.8856,0.61121,1.23184,0.77217,1.33081,0.000266869,0.000266869,0.000266869
74,803.918,1.18475,0.93806,1.41053,0.86575,0.81181,0.85674,0.57069,1.22675,0.83442,1.35903,0.000261667,0.000261667,0.000261667
75,814.613,1.17255,0.95725,1.41719,0.85578,0.81014,0.87167,0.59112,1.21819,0.80766,1.35637,0.000256459,0.000256459,0.000256459
76,825.291,1.17051,0.9391,1.40776,0.88668,0.82288,0.87542,0.58903,1.26202,0.77583,1.38473,0.00025125,0.00025125,0.00025125
77,835.94,1.17202,0.94102,1.41161,0.89238,0.84502,0.89667,0.61667,1.23601,0.75554,1.3394,0.000246041,0.000246041,0.000246041
78,846.563,1.17178,0.92517,1.41233,0.89938,0.85055,0.89968,0.63653,1.18677,0.72705,1.31232,0.000240833,0.000240833,0.000240833
79,857.192,1.18222,0.94015,1.40196,0.90711,0.81919,0.88969,0.60547,1.27818,0.74962,1.37912,0.000235631,0.000235631,0.000235631
80,867.783,1.17458,0.95273,1.42688,0.88273,0.83332,0.88544,0.62963,1.15549,0.72957,1.30448,0.000230435,0.000230435,0.000230435
81,878.246,1.14946,0.92054,1.39148,0.87752,0.83026,0.87839,0.60417,1.2371,0.78597,1.33455,0.000225249,0.000225249,0.000225249
82,888.731,1.15404,0.91629,1.39967,0.89066,0.84686,0.88685,0.60831,1.24896,0.75524,1.35999,0.000220073,0.000220073,0.000220073
83,899.386,1.15595,0.89754,1.39238,0.88757,0.83026,0.87012,0.611,1.19641,0.78115,1.33814,0.000214912,0.000214912,0.000214912
84,909.963,1.14976,0.89598,1.39141,0.89255,0.84133,0.88728,0.61423,1.22035,0.75893,1.35251,0.000209766,0.000209766,0.000209766
85,920.403,1.15359,0.89696,1.40547,0.87453,0.86162,0.88865,0.61419,1.21964,0.73496,1.35093,0.000204639,0.000204639,0.000204639
86,930.87,1.13963,0.88833,1.387,0.87855,0.82751,0.87399,0.59177,1.24435,0.78136,1.37102,0.000199532,0.000199532,0.000199532
87,941.533,1.13432,0.8828,1.39162,0.86155,0.82667,0.86749,0.5931,1.2318,0.78855,1.35713,0.000194448,0.000194448,0.000194448
88,952.038,1.14379,0.89912,1.39221,0.88822,0.85035,0.89232,0.62724,1.18488,0.76037,1.31547,0.000189388,0.000189388,0.000189388
89,962.509,1.15661,0.91113,1.40228,0.89791,0.84133,0.89216,0.61527,1.21737,0.74685,1.33963,0.000184356,0.000184356,0.000184356
